Colorectal cancer,,,,,ab_c
Oleoylethanolamide,HMDB0002088,CCCCCCCC\C=C/CCCCCCCC(=O)NCCO,Feces,Not Specified,
Oleoylcarnitine,HMDB0005065,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,Feces,Not Specified,
Ornithine,HMDB0000214,NCCC[C@H](N)C(O)=O,Feces,Not Specified,
Orotic acid,HMDB0000226,OC(=O)C1=CC(=O)NC(=O)N1,Feces,Not Specified,
p-Cresol sulfate,HMDB0011635,CC1=CC=C(OS(O)(=O)=O)C=C1,Feces,Not Specified,
Palmitic acid,HMDB0000220,CCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Palmitic amide,HMDB0012273,CCCCCCCCCCCCCCCC(N)=O,Feces,Not Specified,
Palmitoleic acid,HMDB0003229,CCCCCC\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
Palmitoylethanolamide,HMDB0002100,CCCCCCCCCCCCCCCC(=O)NCCO,Feces,Not Specified,
Palmitoylcarnitine,HMDB0000222,CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,Feces,Not Specified,
Panose,HMDB0029937,OCC1OC(OCC2OC(OC3C(O)C(O)C(O)OC3CO)C(O)C(O)C2O)C(O)C(O)C1O,Feces,Not Specified,
Pantothenic acid,HMDB0000210,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,Feces,Not Specified,
Paraxanthine,HMDB0001860,CN1C=NC2=C1C(=O)N(C)C(=O)N2,Feces,Not Specified,
Pelargonic acid,HMDB0000847,CCCCCCCCC(O)=O,Feces,Not Specified,
Pentadecanoic acid,HMDB0000826,CCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Phenol sulphate,HMDB0060015,OS(=O)(=O)OC1=CC=CC=C1,Feces,Not Specified,
Phenylacetic acid,HMDB0000209,OC(=O)CC1=CC=CC=C1,Feces,Not Specified,
Phenylacetylglutamine,HMDB0006344,NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
L-Phenylalanine,HMDB0000159,N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Phenylalanylalanine,HMDB0028988,C[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Phenylalanylaspartic acid,HMDB0028991,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Phenylalanylglycine,HMDB0028995,N[C@@H](CC1=CC=CC=C1)C(=O)NCC(O)=O,Feces,Not Specified,
Phenylalanylisoleucine,HMDB0028998,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Phenylalanylmethionine,HMDB0029001,CSCC[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Phenylalanylserine,HMDB0029004,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CO)C(O)=O,Feces,Not Specified,
Phenylalanyltryptophan,HMDB0029006,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Phenylalanyltyrosine,HMDB0029007,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Phenylalanylvaline,HMDB0029008,CC(C)[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
D-Phenyllactic acid,HMDB0000563,[H][C@](O)(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
L-3-Phenyllactic acid,HMDB0000748,O[C@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Phosphate,HMDB0001429,OP(O)(O)=O,Feces,Not Specified,
O-Phosphoethanolamine,HMDB0000224,NCCOP(O)(O)=O,Feces,Not Specified,
Phthalic acid,HMDB0002107,OC(=O)C1=CC=CC=C1C(O)=O,Feces,Not Specified,
Phytanic acid,HMDB0000801,CC(C)CCCC(C)CCCC(C)CCCC(C)CC(O)=O,Feces,Not Specified,
Phytol,HMDB0002019,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CO,Feces,Not Specified,
Phytosphingosine,HMDB0004610,CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)CO,Feces,Not Specified,
Pimelic acid,HMDB0000857,OC(=O)CCCCCC(O)=O,Feces,Not Specified,
D-Pinitol,HMDB0034219,CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O,Feces,Not Specified,
Pipecolic acid,HMDB0000070,OC(=O)C1CCCCN1,Feces,Not Specified,
Piperine,HMDB0029377,O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1,Feces,Not Specified,
L-Proline,HMDB0000162,OC(=O)[C@@H]1CCCN1,Feces,Not Specified,
Prolylglycine,HMDB0011178,OC(=O)CNC(=O)[C@@H]1CCCN1,Feces,Not Specified,
Prolylphenylalanine,HMDB0011179,OC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H]1CCCN1,Feces,Not Specified,
Prolyl-Tryptophan,HMDB0029028,OC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C1CCCN1,Feces,Not Specified,
Pseudoephedrine,HMDB0001943,CN[C@@H](C)[C@@H](O)C1=CC=CC=C1,Feces,Not Specified,
Pseudouridine,HMDB0000767,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O,Feces,Not Specified,
Putrescine,HMDB0001414,NCCCCN,Feces,Not Specified,
Pyridoxal,HMDB0001545,CC1=NC=C(CO)C(C=O)=C1O,Feces,Not Specified,
4-Pyridoxic acid,HMDB0000017,CC1=NC=C(CO)C(C(O)=O)=C1O,Feces,Not Specified,
Pyridoxine,HMDB0000239,CC1=C(O)C(CO)=C(CO)C=N1,Feces,Not Specified,
Pyro-L-glutaminyl-L-glutamine,HMDB0039229,NC(=O)CC[C@H](NC(=O)[C@@H]1CCC(=O)N1)C(O)=O,Feces,Not Specified,
Pyroglutamylvaline,HMDB0094651,CC(C)[C@H](NC(=O)[C@@H]1CCC(=O)N1)C(O)=O,Feces,Not Specified,
Pyruvic acid,HMDB0000243,CC(=O)C(O)=O,Feces,Not Specified,
Quinic acid,HMDB0003072,O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O,Feces,Not Specified,
Quinidine,HMDB0015044,[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1,Feces,Not Specified,
Rhamnose,HMDB0000849,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O,Feces,Not Specified,
Ribitol,HMDB0000508,OC[C@H](O)[C@H](O)[C@H](O)CO,Feces,Not Specified,
Riboflavin,HMDB0000244,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,Feces,Not Specified,
D-Ribose,HMDB0000283,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,Feces,Not Specified,
L-Ribulose,HMDB0003371,OC[C@]1(O)OC[C@H](O)[C@@H]1O,Feces,Not Specified,
Saccharin,HMDB0029723,OC1=NS(=O)(=O)C2=CC=CC=C12,Feces,Not Specified,
Saccharopine,HMDB0000279,N[C@@H](CCCCN[C@@H](CCC(O)=O)C(O)=O)C(O)=O,Feces,Not Specified,
Salicylic acid,HMDB0001895,OC(=O)C1=C(O)C=CC=C1,Feces,Not Specified,
Salicyluric beta-D-glucuronide,HMDB0240252,O[C@@H]1[C@@H](O)[C@H](OC(=O)CNC(=O)C2=C(O)C=CC=C2)O[C@@H]([C@H]1O)C(O)=O,Feces,Not Specified,
Sarcosine,HMDB0000271,CNCC(O)=O,Feces,Not Specified,
scyllo-Inositol,HMDB0006088,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
Sebacic acid,HMDB0000792,OC(=O)CCCCCCCCC(O)=O,Feces,Not Specified,
L-Serine,HMDB0000187,N[C@@H](CO)C(O)=O,Feces,Not Specified,
Serylisoleucine,HMDB0029042,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CO)C(O)=O,Feces,Not Specified,
Serylleucine,HMDB0029043,CC(C)C[C@H](NC(=O)[C@@H](N)CO)C(O)=O,Feces,Not Specified,
Serylproline,HMDB0029047,N[C@@H](CO)C(=O)N1CCC[C@H]1C(O)=O,Feces,Not Specified,
Serylvaline,HMDB0029052,CC(C)[C@H](NC(=O)[C@@H](N)CO)C(O)=O,Feces,Not Specified,
Sinapic acid,HMDB0032616,COC1=CC(\C=C\C(O)=O)=CC(OC)=C1O,Feces,Not Specified,
3-Methylindole,HMDB0000466,CC1=CNC2=C1C=CC=C2,Feces,Not Specified,
Solanidine,HMDB0003236,[H][C@]12CC[C@H](C)CN1[C@@]1([H])C[C@@]3([H])[C@]4([H])CC=C5C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@@H]2C,Feces,Not Specified,
Sorbitol,HMDB0000247,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,Feces,Not Specified,
L-Sorbose,HMDB0001266,OC[C@@]1(O)OC[C@H](O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
Spermidine,HMDB0001257,NCCCCNCCCN,Feces,Not Specified,
Sphinganine,HMDB0000269,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO,Feces,Not Specified,
Sphingosine,HMDB0000252,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO,Feces,Not Specified,
Squalene,HMDB0000256,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,Feces,Not Specified,
Proline betaine,HMDB0004827,C[N+]1(C)CCC[C@H]1C([O-])=O,Feces,Not Specified,
Octadecanamide,HMDB0034146,CCCCCCCCCCCCCCCCCC(N)=O,Feces,Not Specified,
Stearic acid,HMDB0000827,CCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Stearidonic acid,HMDB0006547,CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(O)=O,Feces,Not Specified,
Stearoylethanolamide,HMDB0013078,CCCCCCCCCCCCCCCCCC(=O)NCCO,Feces,Not Specified,
SM(d18:1/18:0),HMDB0001348,[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC,Feces,Not Specified,
Stearoylcarnitine,HMDB0000848,CCCCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,Feces,Not Specified,
Stigmasterol,HMDB0000937,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)\C=C\[C@@H](CC)C(C)C,Feces,Not Specified,
Suberic acid,HMDB0000893,OC(=O)CCCCCCC(O)=O,Feces,Not Specified,
Succinic acid,HMDB0000254,OC(=O)CCC(O)=O,Feces,Not Specified,
Sucrose,HMDB0000258,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
Syringic acid,HMDB0002085,COC1=CC(=CC(OC)=C1O)C(O)=O,Feces,Not Specified,
Taurine,HMDB0000251,NCCS(O)(=O)=O,Feces,Not Specified,
Taurocholic acid,HMDB0000036,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,Feces,Not Specified,
Lithocholyltaurine,HMDB0000722,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,Feces,Not Specified,
Taurolithocholic acid 3-sulfate,HMDB0002580,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)CCC(=O)NCCS(O)(=O)=O,Feces,Not Specified,
Tauroursodeoxycholic acid,HMDB0000874,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(O)(=O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)CC2C[C@H](O)CC[C@]12C,Feces,Not Specified,
Tetradecanedioic acid,HMDB0000872,OC(=O)CCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Theobromine,HMDB0002825,CN1C=NC2=C1C(O)=NC(=O)N2C,Feces,Not Specified,
Theophylline,HMDB0001889,CN1C2=C(NC=N2)C(=O)N(C)C1=O,Feces,Not Specified,
Thiamine,HMDB0000235,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,Feces,Not Specified,
D-Threitol,HMDB0004136,OC[C@@H](O)[C@H](O)CO,Feces,Not Specified,
Threonic acid,HMDB0000943,OC[C@H](O)[C@@H](O)C(O)=O,Feces,Not Specified,
L-Threonic Acid,HMDB0062620,OC[C@H](O)[C@@H](O)C(O)=O,Feces,Not Specified,
L-Threonine,HMDB0000167,C[C@@H](O)[C@H](N)C(O)=O,Feces,Not Specified,
Thymidine,HMDB0000273,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,Feces,Not Specified,
5-Thymidylic acid,HMDB0001227,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O,Feces,Not Specified,
Thymine,HMDB0000262,CC1=CNC(=O)NC1=O,Feces,Not Specified,
Thymol Sulfate,HMDB0062720,CC(C)C1=C(OS(O)(=O)=O)C=C(C)C=C1,Feces,Not Specified,
4-Hydroxyproline,HMDB0000725,O[C@H]1CN[C@@H](C1)C(O)=O,Feces,Not Specified,
Trans-urocanate,HMDB0062562,OC(=O)C=CC1=CN=CN1,Feces,Not Specified,
"1,2,3-Propanetricarboxylic acid",HMDB0031193,OC(=O)CC(CC(O)=O)C(O)=O,Feces,Not Specified,
Tricosanoic acid,HMDB0001160,CCCCCCCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Tryptamine,HMDB0000303,NCCC1=CNC2=C1C=CC=C2,Feces,Not Specified,
L-Tryptophan,HMDB0000929,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
D-Tryptophan,HMDB0013609,N[C@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Tryptophyl-Alanine,HMDB0029076,CC(NC(=O)C(N)CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Tryptophyl-Glutamate,HMDB0029082,NC(CC1=CNC2=C1C=CC=C2)C(=O)NC(CCC(O)=O)C(O)=O,Feces,Not Specified,
Tryptophyl-Isoleucine,HMDB0029086,CCC(C)C(NC(=O)C(N)CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Tryptophyl-Phenylalanine,HMDB0029090,NC(CC1=CNC2=C1C=CC=C2)C(=O)NC(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Tryptophyl-Proline,HMDB0029091,NC(CC1=CNC2=C1C=CC=C2)C(=O)N1CCCC1C(O)=O,Feces,Not Specified,
Tryptophyl-Tryptophan,HMDB0029094,NC(CC1=CNC2=C1C=CC=C2)C(=O)NC(CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Tryptophyl-Tyrosine,HMDB0029095,NC(CC1=CNC2=C1C=CC=C2)C(=O)NC(CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Tryptophyl-Valine,HMDB0029096,CC(C)C(NC(=O)C(N)CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Tyramine,HMDB0000306,NCCC1=CC=C(O)C=C1,Feces,Not Specified,
L-Tyrosine,HMDB0000158,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Tyrosol,HMDB0004284,OCCC1=CC=C(O)C=C1,Feces,Not Specified,
Tyrosyl-Alanine,HMDB0029098,CC(NC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Tyrosyl-Glutamate,HMDB0029104,NC(CC1=CC=C(O)C=C1)C(=O)NC(CCC(O)=O)C(O)=O,Feces,Not Specified,
Tyrosyl-Isoleucine,HMDB0029108,CCC(C)C(NC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Tyrosyl-Leucine,HMDB0029109,CC(C)CC(N=C(O)C(N)CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Tyrosyl-Phenylalanine,HMDB0029112,NC(CC1=CC=C(O)C=C1)C(=O)NC(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Tyrosyl-Tyrosine,HMDB0029117,NC(CC1=CC=C(O)C=C1)C(=O)NC(CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Tyrosyl-Valine,HMDB0029118,CC(C)C(N=C(O)C(N)CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Undecanedioic acid,HMDB0000888,OC(=O)CCCCCCCCCC(O)=O,Feces,Not Specified,
Undecanoic acid,HMDB0000947,CCCCCCCCCCC(O)=O,Feces,Not Specified,
Uracil,HMDB0000300,O=C1NC=CC(=O)N1,Feces,Not Specified,
Uric acid,HMDB0000289,O=C1NC2=C(N1)C(=O)NC(=O)N2,Feces,Not Specified,
Urea,HMDB0000294,NC(N)=O,Feces,Not Specified,
Uridine,HMDB0000296,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,Feces,Not Specified,
Urobilinogen,HMDB0004158,CCC1=C(C)C(=O)NC1CC1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(CC3NC(=O)C(C=C)=C3C)N2)N1,Feces,Not Specified,
Ursodeoxycholic acid,HMDB0000946,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,Feces,Not Specified,
Ursolic acid,HMDB0002395,[H][C@@]12[C@@H](C)[C@H](C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,Feces,Not Specified,
Val-Val-Val,HMDB0094676,CC(C)C(N)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(O)=O,Feces,Not Specified,
Valeric acid,HMDB0000892,CCCCC(O)=O,Feces,Not Specified,
L-Valine,HMDB0000883,CC(C)[C@H](N)C(O)=O,Feces,Not Specified,
Valylalanine,HMDB0029120,CC(C)[C@H](N)C(=O)N[C@@H](C)C(O)=O,Feces,Not Specified,
Valylarginine,HMDB0029121,CC(C)[C@H](N)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O,Feces,Not Specified,
Valylglutamic acid,HMDB0029126,CC(C)[C@H](N)C(=O)N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
Valylglutamine,HMDB0029125,CC(C)[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(O)=O,Feces,Not Specified,
Valylglycine,HMDB0029127,CC(C)[C@H](N)C(=O)NCC(O)=O,Feces,Not Specified,
Valylisoleucine,HMDB0029130,CC[C@H](C)[C@H](NC(=O)[C@@H](N)C(C)C)C(O)=O,Feces,Not Specified,
Valylleucine,HMDB0029131,CC(C)C[C@H](NC(=O)[C@@H](N)C(C)C)C(O)=O,Feces,Not Specified,
Valyllysine,HMDB0029132,CC(C)[C@H](N)C(=O)N[C@@H](CCCCN)C(O)=O,Feces,Not Specified,
Valylmethionine,HMDB0029133,CSCC[C@H](NC(=O)[C@@H](N)C(C)C)C(O)=O,Feces,Not Specified,
Valylphenylalanine,HMDB0029134,CC(C)[C@H](N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Valylserine,HMDB0029136,CC(C)[C@H](N)C(=O)N[C@@H](CO)C(O)=O,Feces,Not Specified,
Valyltryptophan,HMDB0029138,CC(C)[C@H](N)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Valyltyrosine,HMDB0029139,CC(C)[C@H](N)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Valylvaline,HMDB0029140,CC(C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O,Feces,Not Specified,
Vanillic acid,HMDB0000484,COC1=C(O)C=CC(=C1)C(O)=O,Feces,Not Specified,
Vanillin,HMDB0012308,COC1=CC(C=O)=CC=C1O,Feces,Not Specified,
Vanillylmandelic acid,HMDB0000291,COC1=C(O)C=CC(=C1)[C@H](O)C(O)=O,Feces,Not Specified,
Xanthine,HMDB0000292,O=C1NC2=C(NC=N2)C(=O)N1,Feces,Not Specified,
Xanthosine,HMDB0000299,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O,Feces,Not Specified,
Xanthurenic acid,HMDB0000881,OC(=O)C1=NC2=C(O)C=CC=C2C(O)=C1,Feces,Not Specified,
D-Xylitol,HMDB0002917,OC[C@H](O)[C@@H](O)[C@H](O)CO,Feces,Not Specified,
L-Xylonic acid,HMDB0060256,OC[C@H](O)[C@@H](O)[C@H](O)C(O)=O,Feces,Not Specified,
D-Xylose,HMDB0000098,O[C@@H]1COC(O)[C@H](O)[C@H]1O,Feces,Not Specified,
D-Xylulose,HMDB0001644,OC[C@@]1(O)OC[C@@H](O)[C@@H]1O,Feces,Not Specified,
L-Glutamic acid,HMDB0000148,N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
L-Aspartic acid,HMDB0000191,N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
L-Proline,HMDB0000162,OC(=O)[C@@H]1CCCN1,Feces,Not Specified,
L-Phenylalanine,HMDB0000159,N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Glycine,HMDB0000123,NCC(O)=O,Feces,Not Specified,
L-Leucine,HMDB0000687,CC(C)C[C@H](N)C(O)=O,Feces,Not Specified,
L-Serine,HMDB0000187,N[C@@H](CO)C(O)=O,Feces,Not Specified,
Phenylacetic acid,HMDB0000209,OC(=O)CC1=CC=CC=C1,Feces,Not Specified,
Oleic acid,HMDB0000207,CCCCCCCC\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
Linoleic acid,HMDB0000673,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
Elaidic acid,HMDB0000573,CCCCCCCC\C=C\CCCCCCCC(O)=O,Feces,Not Specified,
"MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)",HMDB0004666,[H]C(CO)(CO)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,Feces,Not Specified,
MG(18:0/0:0/0:0),HMDB0011131,[H][C@](O)(CO)COC(=O)CCCCCCCCCCCCCCCCC,Feces,Not Specified,
MG(0:0/14:0/0:0),HMDB0011530,[H]C(CO)(CO)OC(=O)CCCCCCCCCCCCC,Feces,Not Specified,
MG(0:0/14:1(9Z)/0:0),HMDB0011531,[H]C(CO)(CO)OC(=O)CCCCCCC\C=C/CCCC,Feces,Not Specified,
MG(0:0/15:0/0:0),HMDB0011532,[H]C(CO)(CO)OC(=O)CCCCCCCCCCCCCC,Feces,Not Specified,
MG(0:0/16:0/0:0),HMDB0011533,[H]C(CO)(CO)OC(=O)CCCCCCCCCCCCCCC,Feces,Not Specified,
MG(0:0/16:1(9Z)/0:0),HMDB0011534,[H]C(CO)(CO)OC(=O)CCCCCCC\C=C/CCCCCC,Feces,Not Specified,
MG(0:0/18:0/0:0),HMDB0011535,[H]C(CO)(CO)OC(=O)CCCCCCCCCCCCCCCCC,Feces,Not Specified,
MG(0:0/18:1(11Z)/0:0),HMDB0011536,[H]C(CO)(CO)OC(=O)CCCCCCCCC\C=C/CCCCCC,Feces,Not Specified,
MG(0:0/18:1(9Z)/0:0),HMDB0011537,[H]C(CO)(CO)OC(=O)CCCCCCC\C=C/CCCCCCCC,Feces,Not Specified,
"MG(0:0/18:2(9Z,12Z)/0:0)",HMDB0011538,[H]C(CO)(CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,Feces,Not Specified,
"MG(0:0/18:3(6Z,9Z,12Z)/0:0)",HMDB0011539,[H]C(CO)(CO)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,Feces,Not Specified,
"MG(0:0/18:3(9Z,12Z,15Z)/0:0)",HMDB0011540,[H]C(CO)(CO)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,Feces,Not Specified,
"MG(0:0/18:4(6Z,9Z,12Z,15Z)/0:0)",HMDB0011541,[H]C(CO)(CO)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,Feces,Not Specified,
MG(0:0/20:0/0:0),HMDB0011542,[H]C(CO)(CO)OC(=O)CCCCCCCCCCCCCCCCCCC,Feces,Not Specified,
MG(0:0/20:1(11Z)/0:0),HMDB0011543,[H]C(CO)(CO)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,Feces,Not Specified,
"MG(0:0/20:2(11Z,14Z)/0:0)",HMDB0011544,[H]C(CO)(CO)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,Feces,Not Specified,
"MG(0:0/20:3(5Z,8Z,11Z)/0:0)",HMDB0011546,[H]C(CO)(CO)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,Feces,Not Specified,
"MG(0:0/20:3(8Z,11Z,14Z)/0:0)",HMDB0011547,[H]C(CO)(CO)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,Feces,Not Specified,
"MG(0:0/20:4(8Z,11Z,14Z,17Z)/0:0)",HMDB0011549,[H]C(CO)(CO)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,Feces,Not Specified,
"MG(0:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)",HMDB0011550,[H]C(CO)(CO)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,Feces,Not Specified,
MG(0:0/22:0/0:0),HMDB0011551,[H]C(CO)(CO)OC(=O)CCCCCCCCCCCCCCCCCCCCC,Feces,Not Specified,
MG(0:0/22:1(13Z)/0:0),HMDB0011552,[H]C(CO)(CO)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC,Feces,Not Specified,
"MG(0:0/22:2(13Z,16Z)/0:0)",HMDB0011553,[H]C(CO)(CO)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,Feces,Not Specified,
"MG(0:0/22:4(7Z,10Z,13Z,16Z)/0:0)",HMDB0011554,[H]C(CO)(CO)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,Feces,Not Specified,
"MG(0:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)",HMDB0011555,[H]C(CO)(CO)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC,Feces,Not Specified,
